"","GSM1832695","GSM1832696","GSM1832697","GSM1832698","GSM1832699","GSM1832700","GSM1832701","GSM1832702","GSM1832703","GSM1832704","GSM1832705","GSM1832706"
"SLC38A4",1.274036,2.4216586,1.6875736,1.1974802,1.7015436,1.9952596,3.5023766,0.9368811,1.9971032,1.3065338,2.0855761,2.6059623
"SLC38A4-AS1",8.5210162,8.087801,8.192811,7.87018493,9.1492892,8.0470801,8.087533,7.35124496,8.2535334,8.1524248,7.34679798,9.4916516
"SLC38A5",7.62457184,7.094217335,7.08536247,7.005714451,6.3920489,6.8497744,7.6971741,7.47206978,7.040359532,8.0882626,7.33541778,6.6924353
"SLC38A6",8.5397997,9.5927639,9.1301422,9.2792473,9.8072253,9.8521653,9.0947361,9.3267231,9.1644316,9.0062275,10.3976126,9.92412
"SLC38A7",11.1102209,10.9526053,10.9510718,10.5668631,10.4928016,10.5576906,11.3133506,11.6806612,11.4828272,10.6642962,11.1201821,10.837657
"SLC38A8",4.5970096,4.9122339,5.1333652,4.7851777,5.2714754,5.4035344,4.337513,4.8671122,4.2109032,4.9389091,5.2997799,5.2449694
"SLC38A9",7.80992607,8.1355315,7.57549385,7.887909,7.6110516,7.9379378,8.0886927,8.0704127,7.8723507,8.4454432,7.25684074,8.2291079
"SLC39A10",7.9110289,7.48633197,7.5395117,7.29296497,6.66108516,6.59885887,7.23119358,7.4466496,7.98263553,7.6551371,5.9235216,5.2356987
"SLC39A11",5.9793578,5.6940079,6.4690619,6.1107941,4.7270618,5.050355,6.3266697,5.8278551,6.409401,6.1312914,4.014566,5.543911
"SLC39A12",0.9654541,0.8000966,1.7665366,0.232064299999999,1.7781639,1.8531881,1.6725741,0.9666853,1.1821852,1.1205216,2.1239653,2.5747013
"SLC39A12-AS1",4.0995416,5.1217308,4.3766051,5.1123066,5.0453601,4.6508251,5.0177708,5.1247645,5.0814553,4.5516901,5.7426157,4.7567239
"SLC39A13",7.8880377,7.6265116,7.7657004,7.8529225,7.03327564,7.083603894,7.78647426,8.1114703,8.35318,8.2748328,7.30369476,8.0230055
"SLC39A13-AS1",2.5908156,3.2719126,2.2662506,3.2070661,3.6786528,3.8367381,2.6264983,3.01751,3.7580924,2.9119048,3.3864727,3.3708563
"SLC39A14",12.2859793,10.4260083,11.7593699,8.3114376,10.911459,9.9111615,11.8801422,9.606081,8.8393746,10.2447616,10.2117672,8.7307396
"SLC39A2",5.1217256,3.822835,4.5375557,1.6291571,3.7617102,2.3115456,4.5131036,2.5486441,1.1452556,2.3663693,3.0981932,2.5112372
"SLC39A3",8.3675909,7.5749531,7.9103365,7.5760727,7.45447162,7.73403267,7.97684673,7.49155334,7.8830853,8.042387,9.0528098,7.88365844
"SLC39A4",9.4135142,8.3813649,9.1451254,8.2770176,8.8207112,9.1144228,8.9177094,8.4482546,8.3047409,9.063797,8.870595,9.1479111
"SLC39A5",9.7518502,9.6653396,9.7701807,9.7944908,10.0315333,10.1655665,9.8638754,10.1894636,10.2260571,10.0509529,10.6313286,10.2894354
