"","GSM2425674","GSM2425675","GSM2425676","GSM2425677","GSM2425678","GSM2425679","GSM2425680","GSM2425681","GSM2425682","GSM2425683","GSM2425684","GSM2425685","GSM2425686","GSM2425687","GSM2425688","GSM2425689","GSM2425690","GSM2425691"
"ABCB10",9.15517737131285,9.30672399194892,9.10195928793163,9.46433205636391,9.34277886028658,9.56649602896849,9.42383562806432,9.72458830517694,9.20283510042021,8.40492380829869,9.350297359862,9.09293379418915,9.0131790528606,9.03409590036887,9.52106440348133,9.44196159021391,9.12690721015818,9.59251059539294
"ABCB11",4.4788868582008,4.82847195034815,4.76428001092826,4.31692966878964,4.50537879004756,4.82472906173889,4.14308006056038,4.49941502285213,4.74504302320292,4.80543171332568,4.20638238389448,4.64893953319344,4.70294876775237,4.24211504721142,4.75643068083128,4.84247229156593,4.47955710993841,4.65812326139533
"ABCB4",4.33991006049477,5.78547391633785,4.84247229156593,5.20303627865113,5.15859999448295,5.13750434346279,4.82985067585308,5.33232053770392,4.60526032140183,5.20646779897877,4.7673417566528,4.27112010196087,4.43112976519862,4.75381630426159,4.43985288673063,4.02249893695103,4.81445188207702,4.82444018060366
"ABCB5",3.82375873372018,3.47430494219978,3.66304056240559,3.80519565350135,3.53226458742997,4.43688107486577,3.11414710548266,4.37737109666527,3.4040529456094,3.0695698505124,3.77201125438086,3.94860813570119,3.41116724244793,3.65943025937188,4.41741508418592,3.91557424793215,4.13938182065506,3.48108706891085
"ABCB6",8.71772186210436,8.73146790947129,8.80456783021909,8.87750641875334,8.98421011460643,8.75964475157746,8.12316726643455,8.77022072671764,8.92193659796996,9.40451628752058,8.96882044211358,8.92723917634172,9.10730015569147,9.35509746816708,9.05774013595115,8.70546222570087,9.12335751549741,9.53929310735524
"ABCB7",8.95449749970823,8.87168276524582,9.09042781920604,8.36245349439523,8.27929930604089,8.88681550711031,8.63533743801082,8.65343074954634,9.01373402366131,9.32551809918867,8.92905111915981,9.07889601212538,9.24929187590987,8.96882044211358,8.90118205371147,8.82783604222254,8.60130972075682,8.70195222887694
"ABCB8",4.90028043551821,4.97465604749293,4.96267820266077,5.12930362672691,5.62561504657583,5.05312259117517,4.66006608167039,4.72289565409615,4.58540558651108,4.66655647506815,4.46151480822912,4.41947956451659,4.85856064308013,4.54393658666327,4.67053507888881,5.14681486111206,4.53971821390535,5.52628638923858
"ABCB9",10.5136672620132,7.12414365016011,9.826612612707,7.62646074775671,6.42704678538069,6.35618959815963,5.82715772251488,9.23419031513811,10.4557668053933,11.3134113136326,10.4635753162632,10.394650104172,10.5493609981434,10.9408412847296,10.3370630671942,10.3762077366971,10.5209857992393,10.0691326753409
"ABCC1",5.9593823092521,6.87152112478866,6.03478267887309,6.4921446515651,6.50936473772869,7.18014845803677,7.16636256005427,6.52342912790992,6.35144547203016,5.19364047582701,6.17665807249598,5.73412050108312,6.31753544112957,6.27343401779234,6.81218372461047,6.84661341018813,6.82903121723548,6.80711879023344
"ABCC10",7.75397257016849,7.93807850133534,7.59218910466825,7.35557186693804,7.75433209125786,7.71779197111548,6.99105421238914,7.38831061786937,7.75977076603081,8.0821616049903,7.50140379392012,7.52766982168286,7.69250433579751,7.61025904330881,7.70709859510804,7.52046986610633,7.59324738772201,7.50876504142782
