"","SRR3216048","SRR3216049","SRR3216051","SRR3216052","SRR3216053","SRR3216054","SRR3216055","SRR3216056"
"RPS7",12.9615257083513,12.5172172771478,11.6195421112892,12.1026206772948,12.9958625449447,13.1157189212059,12.7912727603815,12.7210160757592
"SCGB2A1",11.8658828517942,13.406521769071,12.4748592785768,12.63862992683,12.8025501945547,11.6377284304789,12.9627346391666,12.9826401449892
"RPL13",13.0013823796708,12.5490298497712,12.1692832996722,12.2776440661005,12.8192738612966,13.0419117861404,12.6776579886892,12.643942740754
"STC1",12.4865741975391,12.24928158537,11.6760188322653,11.038452770418,13.2709371756374,12.8158115987293,13.5700668805778,12.3807059554963
"RALGAPA2",12.2505819099745,12.8502762851581,12.6997640285986,12.3572133805484,12.9793180103592,12.5200941212805,13.042812829702,12.5330193278234
"EIF4A2",12.7208707268593,12.7136349670306,12.4754214816528,12.6413409951622,12.7461807864628,12.6508264630503,12.7458128535778,12.6090050258777
"COL6A1",12.7717712926567,12.2508261473883,13.1863527726571,12.491867690402,12.7062630909436,12.8620481518787,12.4915602070045,12.4895746721396
"RNF213",13.0600797310645,12.581178879216,12.9808626452293,12.3879890349932,12.7635293204566,12.4691406337001,12.5244097271935,12.4916055457014
"LRP1",12.7533043422973,12.1299056448335,13.3403432070959,12.3840239667671,12.3264640447706,12.8557350698468,12.7429085990414,12.4042396214679
"MPZL2",11.6947134940234,12.9961208250542,12.5887570494718,13.7821341437304,12.0263008761032,11.7242695937012,12.3013772498698,13.0382001072129
"ANXA4",12.6237305554008,13.517972338365,11.451026136136,12.1418418209518,12.8630507450767,13.0525651315472,12.721392402051,12.1662278052607
"EIF4B",12.5306695957486,12.513345694185,12.689416765301,12.7606323128076,12.5798636779639,12.6981723312472,12.6712489470029,12.7164189448889
"ERRFI1",11.9783990237438,12.7438177868388,12.7433270509461,13.0006697409872,11.5417234261496,12.3683090454824,13.2385457338824,12.6976351348638
"USP53",11.3920890975397,12.8869908256839,13.1486553129946,13.3701184232829,12.2230760103049,11.667523866613,12.6263235324837,12.9352145137821
"ID4",12.7818253133041,12.9730537419489,12.0494247728426,11.7790867745585,13.0203965415275,12.9927137842816,12.5810261526532,12.391080757092
"CSDE1",12.6464809392407,12.5783905539338,12.4157833020484,12.5490420348623,12.7375350814672,12.7187651381941,12.7458318549946,12.5783284525504
"P4HB",12.7337526503234,12.566505736652,12.046929297944,12.9105456349509,12.7973238347994,12.9260334879504,12.3681385021469,12.4897650276703
"EIF4A1",12.8913980615227,12.68869753027,11.9282341946889,12.2932180188102,12.8043741142298,13.0353296118303,12.5419928622853,12.4355262402854
"FOXO1",12.4539829626016,12.9495950268315,12.349452850462,12.8307126960214,12.3551259911221,12.6121205960389,12.6375379719407,12.7025772124354
"YWHAZ",12.4796153895634,12.8213722690712,12.2989968473757,12.5046862651509,12.7682989043552,12.7324637317684,12.716731935752,12.4575046519522
"PERP",12.2989438275794,12.9256131401747,12.6486044462775,12.4061957526653,12.651557166639,12.4535647204653,12.9318704884929,12.3820192012336
"MT-ND3",12.4481971916047,12.4870571108193,11.4921322789071,12.3793035744635,12.5411469975969,12.7199160019673,13.2209456589427,12.5296664365939
"RNASET2",11.8864207463057,13.0601858095746,12.6041908611905,13.1100128801919,12.1811961536208,12.0523063209966,12.401396023318,12.9462205902941
"FREM2",11.7280439924169,12.6896496179882,12.7998833101817,13.0885620756363,11.3673934958354,11.4566611476478,12.4053285034814,13.5493960881118
"ARID5B",12.5820874303027,12.8553267659886,12.0261972112141,11.0672183671503,13.1766957694753,12.7286346310217,12.9776054422894,12.1110942564155
"SLC44A1",12.2104337597324,13.1853981098449,12.4200049274252,11.988097182493,13.041293672228,12.528915671835,12.9013991465263,11.8959017080917
"HECTD1",12.5469800461497,12.4196145984988,12.637047354576,12.3021961025607,12.7625102684788,12.6215190540129,12.7501874710107,12.3491603941602
"EZR",12.2294057209121,13.0397232227761,12.0296268399127,12.037998147534,12.7684576469683,12.770133106277,13.0304335136471,12.0852575921012
"ELP3",12.2261778606841,12.6268221287879,11.8799614594548,13.7288390544869,12.2586197263433,10.7875741311274,11.8251164279878,13.2524157217296
"IGF1",12.3606428190853,12.5856437459388,13.463609120707,13.00994893297,11.6420175964861,11.9808530403715,11.9705237452832,12.8463584488078
"NORAD",12.5993231263099,12.5771375746395,12.7125934160516,12.5403912157397,12.5957879535615,12.3925053764009,12.4386674825547,12.5971442948524
"RPS17",12.8694512337343,12.3991465529036,11.7636597724982,11.9578548230734,12.7883340280326,12.9581117075151,12.516148165834,12.6153528615737
"LRATD2",12.4691897711428,12.9069891758047,12.0794750163549,11.4292876235475,13.3748551622224,12.6769124609903,12.6272508654535,12.1325484928144
"HELZ",12.5979164409768,12.4469809651625,12.3805242240788,12.0322511706167,12.8182198666529,12.3971065691542,12.9453320325962,12.3585870726945
"APOL1",12.4341807150088,12.7240676868844,11.9029809150412,12.0978036329852,12.8966745516354,12.9455952808035,12.7747062654545,12.1761286953447
